supplier_id,supplier_name,supplier_city,supplier_address,supplier_postcode,supplier_email,supplier_contact
PMZJ66PL048,"Reed, Scott and Morris",North Lanarkshire,"Flat 62
Francis island",ML1 4HB,htaylor@example.com,07090925544
EYDT93ZI824,Harris PLC,South Ribble,2 Patel shore,PR5 5FF,terence95@example.org,07576962029
XCVK89PR241,Mason-Jones,Nottingham,9 Lisa club,NG5 3PE,ross31@example.net,07072507493
UGRP15OQ659,Jenkins-Barnes,Bedford,6 Walton streets,MK42 5WF,frances53@example.com,07186428212
XMWZ40VU801,Moss Inc,Fife,645 Frederick mills,KY11 1SD,khussain@example.org,07918896644
XKWC09GS753,"Clayton, O'Sullivan and Smith",Camden,"Studio 80y
Bailey stream",NW3 1DJ,fishertoby@example.com,07406448885
CCKQ33PD287,Hughes LLC,Liverpool,"Studio 3
Harris mountains",L21 0HJ,cartwrighthannah@example.org,07536208296
KRGZ48TR418,Clements-Cooper,Shropshire,1 Clark rest,SY1 9HQ,denisechambers@example.org,07570869305
ZMKS94HJ719,Farmer-Hart,Hertsmere,762 Williams gateway,WD6 3XW,jeanpearce@example.net,07823570393
VIPC23CV209,Smith Ltd,Dacorum,"Flat 82w
Mistry corners",HP2 6nan,damianhope@example.org,07426197378
VMWQ22IQ018,Hartley-Fowler,Lambeth,"Flat 40
Hurst avenue",SE27 0WT,lingram@example.org,07132716644
IOPV33UW969,Dale-Ball,Bury,14 Diane squares,M45 7JE,ghutchinson@example.net,07659514070
PSUK51GH591,"Edwards, Davies and Hayes",Haringey,"Flat 7
Paige track",N8 8JL,hillsarah@example.com,07436666097
ZFKN04BD135,Ali-Blackburn,Middlesbrough,"Flat 01r
David glens",TS3 8QJ,oherbert@example.net,07592945067
TVCA23DU098,Nicholls-Spencer,Bolton,"Studio 96
Warner glen",BL3 1SZ,ireneshaw@example.net,07820195501
CLDB39TA916,Brown PLC,Brighton and Hove,"Flat 39f
Steven turnpike",BN3 8PJ,tkaur@example.org,07318705056
XZBV32AR173,"Daniels, Turnbull and Harrison",Solihull,"Flat 85h
Ben cliff",B37 7ZX,ashley96@example.net,07246292648
HCUJ69LN141,"Ward, Cooper and Russell",Wiltshire,"Flat 48i
Stacey cove",SN6 8YS,elliottthornton@example.com,07022270808
TDWM20GI870,Griffiths-Howard,Swansea,"Studio 86V
Harris landing",SA5 7XB,martinguy@example.net,07625911824
YBZV57FF923,"Jones, Donnelly and Haynes",Staffordshire,1 Margaret locks,ST5 8DL,glenntaylor@example.net,07345448727
OVFA58PV419,Morgan Ltd,Worcester,"Flat 84
Donnelly summit",WR2 6UG,elliotward@example.org,07820928051
MVIE69RW845,"Doyle, Baker and Hayward",Central Bedfordshire,"Flat 77
Hughes circle",SG19 9EN,andrew59@example.net,07379378252
RIEH07YP150,Roberts-Bell,Charnwood,"Flat 27d
Richard knoll",LE11 1LN,hopederek@example.com,07780818501
UTEW59JM459,"Robinson, Blake and Taylor",Southwark,"Studio 0
Joyce way",SE1 1LE,hughesbenjamin@example.org,07169597568
WKFH61HU093,Thomas Group,Larne,605 Connor river,BT40 9FU,jordanbrown@example.net,07512502205
MWSN76YV960,Hyde-Bates,Camden,43 Marion heights,NW1 7NX,joseph05@example.net,07930604609
WFOQ02PR714,Pearson-Tucker,Cardiff,6 Edwards lights,CF14 5FT,nkirk@example.com,07251607599
JOBZ90ZN075,Poole Inc,Ealing,66 Lucy station,W5 2RW,tsanders@example.org,07449762074
MVNK38AG120,Smith-Payne,Salford,523 Louise keys,M28 7YN,michelle60@example.com,07361511050
GDTU00GJ891,"King, Bradshaw and Stevens",East Ayrshire,"Studio 7
Elliott underpass",KA3 5LY,eleanor87@example.org,07269057877
UCAI42OZ176,Russell Ltd,Doncaster,39 Charlotte bypass,DN4 9TR,hansonjanet@example.org,07108640811
DEIA14BB285,"Harrison, Burton and Rogers",Carmarthenshire,125 Kim springs,SA15 5UF,knightbrenda@example.net,07551702840
SBXW34TU855,Lane PLC,Lancaster,9 Osborne squares,LA1 5XN,jasonsheppard@example.org,07065282222
