payment_id,cust_id,order_item_id,payment_status,payment_method
NA,mgdx98lu616,93163681,Pending,Debit Card
NA,sahs22dc031,32826333,Processing,Credit Card
NA,xrmi24eu289,14742018,Cancelled,Credit Card
NA,xrmi24eu289,31318366,Processing,Debit Card
NA,uztn96tq233,80856775,Cancelled,Debit Card
NA,msit86sd799,20661283,Completed,Credit Card
NA,tkpw04jb846,67844399,Completed,Debit Card
NA,tomw58ec332,93380254,Completed,Debit Card
NA,knqn03cl323,65751989,Cancelled,Credit Card
NA,cbks56ex501,25475619,Cancelled,Debit Card
NA,zndx79dv595,51326624,Processing,PayPal
NA,rnoj77oh349,15276690,Processing,Credit Card
NA,unkz46ug554,33290807,Cancelled,PayPal
NA,unkz46ug554,17183641,Pending,Credit Card
NA,xrmi24eu289,52886680,Cancelled,Debit Card
NA,ucqd20dx502,13175549,Completed,Credit Card
NA,korx32es976,51873577,Completed,Credit Card
NA,cjum45cw955,22275278,Processing,Debit Card
NA,euqm90ct778,49321991,Pending,Debit Card
NA,mkdf99dr289,12109693,Cancelled,Debit Card
NA,sahs22dc031,62177055,Processing,Bank Transfer
NA,xikc18dy769,13214889,Completed,Credit Card
NA,euqm90ct778,49321991,Completed,Credit Card
NA,tkpw04jb846,61194907,Cancelled,Debit Card
NA,xrmi24eu289,14742018,Completed,Debit Card
NA,ahlk24vu240,61696277,Processing,Debit Card
NA,ikzx52ui551,21518960,Cancelled,PayPal
NA,uhkk86wl165,13433706,Failed,Debit Card
NA,ahlk24vu240,61696277,Processing,Debit Card
NA,korx32es976,51873577,Cancelled,PayPal
NA,iiyk27fi635,54565381,Failed,Credit Card
NA,krhb93ai768,54340867,Pending,Debit Card
NA,unkz46ug554,62369466,Completed,Credit Card
NA,vqjd84nx309,22311993,Failed,Credit Card
NA,uhkk86wl165,54199613,Completed,Credit Card
NA,ormw26jh773,53243155,Processing,PayPal
NA,mnxk50yg461,31969925,Completed,Credit Card
NA,yclp85ad695,63738965,Failed,Credit Card
NA,bofq23xp782,19819529,Completed,Credit Card
NA,cjum45cw955,81665141,Pending,Bank Transfer
NA,htdh42io696,22838962,Completed,Credit Card
NA,zhac02rd895,56586401,Processing,Debit Card
NA,ikzx52ui551,52742395,Completed,Credit Card
NA,bjgd27ii209,87975820,Cancelled,PayPal
NA,tomw58ec332,13035939,Completed,Debit Card
NA,tomw58ec332,41996576,Cancelled,Credit Card
NA,xrmi24eu289,14742018,Processing,Bank Transfer
NA,vqjd84nx309,22311993,Failed,Debit Card
NA,zndx79dv595,70681694,Completed,Credit Card
NA,zhac02rd895,95919692,Completed,Credit Card
NA,xikc18dy769,62858865,Completed,PayPal
NA,unkz46ug554,62369466,Processing,PayPal
NA,mgdx98lu616,75743390,Completed,PayPal
NA,mnxk50yg461,31969925,Completed,Credit Card
NA,euqm90ct778,49321991,Completed,PayPal
NA,xrmi24eu289,52886680,Processing,Credit Card
NA,tkpw04jb846,67844399,Cancelled,Debit Card
NA,uztn96tq233,80856775,Completed,Credit Card
NA,tkpw04jb846,69550589,Cancelled,Credit Card
NA,tomw58ec332,13035939,Completed,Credit Card
NA,mgdx98lu616,93163681,Processing,Credit Card
NA,tkpw04jb846,30914889,Cancelled,Debit Card
NA,tomw58ec332,41996576,Completed,Credit Card
NA,mnxk50yg461,73315691,Cancelled,Debit Card
NA,pegk82sb010,18019128,Cancelled,Credit Card
NA,gihd07uq210,84026325,Cancelled,Credit Card
NA,jzox33pt846,38909317,Cancelled,Credit Card
NA,zhac02rd895,95919692,Processing,Debit Card
NA,jzox33pt846,11409099,Cancelled,Credit Card
NA,sahs22dc031,44126874,Completed,Credit Card
NA,jaod01gt269,77608190,Cancelled,Debit Card
NA,cbks56ex501,33508443,Cancelled,Debit Card
NA,tbkl20yp323,82217266,Completed,Credit Card
NA,ahlk24vu240,61696277,Completed,Debit Card
NA,jaod01gt269,77608190,Processing,Credit Card
NA,unkz46ug554,62369466,Cancelled,Credit Card
NA,bofq23xp782,19819529,Completed,PayPal
NA,tkpw04jb846,69550589,Cancelled,Credit Card
NA,vqjd84nx309,80769715,Completed,PayPal
NA,mnxk50yg461,31969925,Completed,Credit Card
NA,zhac02rd895,95919692,Processing,Credit Card
NA,pegk82sb010,77815448,Failed,Credit Card
NA,zndx79dv595,51326624,Processing,PayPal
NA,rnoj77oh349,15276690,Processing,PayPal
NA,zndx79dv595,42816022,Completed,Debit Card
NA,pegk82sb010,55920816,Completed,Bank Transfer
NA,tbkl20yp323,65067820,Completed,Debit Card
NA,cbks56ex501,33508443,Failed,Debit Card
NA,zndx79dv595,54115579,Completed,Credit Card
NA,uhkk86wl165,93013736,Completed,Debit Card
NA,yclp85ad695,63738965,Cancelled,Debit Card
NA,unkz46ug554,41055205,Cancelled,Bank Transfer
NA,uhkk86wl165,93013736,Completed,Bank Transfer
NA,uztn96tq233,98881757,Processing,Credit Card
NA,ormw26jh773,53243155,Completed,Credit Card
NA,bofq23xp782,19819529,Processing,Credit Card
NA,vqjd84nx309,22311993,Processing,Credit Card
NA,sahs22dc031,44126874,Completed,Debit Card
NA,tkpw04jb846,67844399,Processing,Credit Card
NA,ikzx52ui551,52742395,Failed,Credit Card
NA,uztn96tq233,80856775,Processing,Debit Card
NA,ahlk24vu240,61696277,Completed,Debit Card
NA,iiyk27fi635,95904830,Failed,Credit Card
NA,sahs22dc031,32826333,Processing,Debit Card
NA,tkpw04jb846,67844399,Processing,Debit Card
NA,gkab56dt596,19710422,Processing,Credit Card
NA,ucqd20dx502,13175549,Completed,Credit Card
NA,ahlk24vu240,61696277,Cancelled,Bank Transfer
NA,vqjd84nx309,21091613,Pending,Bank Transfer
NA,uhkk86wl165,13433706,Failed,Debit Card
NA,gkab56dt596,19710422,Cancelled,Credit Card
NA,tbkl20yp323,65067820,Processing,Credit Card
NA,iiyk27fi635,95904830,Processing,Bank Transfer
NA,jzox33pt846,11409099,Completed,Credit Card
NA,ucqd20dx502,28866974,Cancelled,Credit Card
NA,mkdf99dr289,12109693,Completed,Credit Card
NA,rkge30jc866,17955791,Processing,Debit Card
NA,knqn03cl323,65751989,Completed,Bank Transfer
NA,zndx79dv595,42816022,Processing,Credit Card
NA,gkab56dt596,28984535,Completed,Credit Card
NA,vqjd84nx309,21091613,Failed,PayPal
NA,gkab56dt596,28984535,Completed,Debit Card
NA,vqjd84nx309,36268576,Processing,Bank Transfer
NA,uztn96tq233,46367252,Failed,Debit Card
NA,euqm90ct778,49321991,Cancelled,Bank Transfer
NA,sahs22dc031,62177055,Failed,Debit Card
NA,tkpw04jb846,67844399,Processing,Credit Card
NA,zndx79dv595,54115579,Processing,Debit Card
