supplier_id,supplier_name,supplier_city,supplier_address,supplier_postcode,supplier_email,supplier_contact
XQLM05TK473,Ryan Group,Bradford,5 Leanne forest,BD21 3RP,khobbs@example.com,07804 555134
OBGI71WD391,Archer PLC,Canterbury,"Studio 3
Taylor fields",CT2 0FY,katiefletcher@example.org,07542 293247
SLDT65RV864,Tyler-Burke,Allerdale,"Studio 56C
Georgia throughway",CA7 3UE,mjohnson@example.net,07672 050513
UPAN89TG013,Jenkins Inc,Enfield,166 Blackburn mills,EN3 6AH,chapmandennis@example.org,07902 403890
DALV34FU505,Potter-Bennett,Broxtowe,55 Jason knolls,NG16 4ER,josephinedavies@example.net,07102 079224
HQHX83VT540,Marsh-Davies,Enfield,4 Stuart center,N9 0UF,llewis@example.org,07435 819505
XURU71KI874,"Ward, Turner and Morris",Tewkesbury,"Studio 59
Coleman expressway",GL51 7EW,rturner@example.com,07910 544722
YZKN99OF307,Miah Inc,Newmarket,"Flat 3
Boyle corners",CB8 7XX,roy86@example.net,07847 117542
UQKL78WS135,Thompson-Robinson,Norfolk,6 Smith vista,NR19 1HX,oconnorlaura@example.com,07451 455602
QRJE65LX881,Holland-Lewis,Wyre Forest,"Flat 25
Jacqueline station",DY11 7GQ,nedwards@example.org,07296 040653
EKCI37ZR241,Ford-Davies,Aylesbury Vale,"Flat 56k
McCarthy spurs",HP22 3AS,whaynes@example.net,07643 273560
LURB00ZZ710,Bennett Inc,East Riding of Yorkshire,"Flat 29d
Lucy green",YO43 4ZZ,anndixon@example.net,07036 735354
PHVC68UR840,Lambert LLC,Conwy,0 Mason park,LL18 6NH,justinshah@example.com,07946 421860
WQEX03UM552,Richardson Ltd,Angus,9 Bethan port,DD8 1JA,hallbernard@example.net,07648 118932
TKBF07XJ197,"Hewitt, Baker and Ball",East Riding of Yorkshire,480 Bennett stravenue,HU17 6SW,jasmine42@example.org,07595 999067
MEGK28TO339,Woodward-Cox,Blackburn with Darwen,"Studio 63T
Denis ridges",BB3 1BB,matthewssteven@example.com,07127 038382
VDSN02LO561,Matthews LLC,Doncaster,"Flat 93
Short cove",DN4 5FY,gerald48@example.net,07751 492719
UBYO89LJ515,Gregory-Ball,Kent,8 Bishop meadows,CT1 9BL,bandrews@example.com,07918 887285
DXQC82SF416,Payne Inc,Swindon,"Studio 21t
Edwards drive",SN4 7NG,karcher@example.net,07885 986125
NJJX13AO239,Hargreaves-Simmons,Leicester,954 Lowe island,LE2 1LH,amandarowley@example.org,07736 780902
